metric_name,description,origin_candidate,rationale,required_for_model,azure_target_table,notes
accept_flag,Accept flag captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
access_granted_timestamp,Access granted timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
action_log,Action log captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,no,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
activation_domain,Activation domain captured in bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
actual_mileage,Actual mileage captured in fact_travel_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
actual_step_duration_min,Actual step duration min captured in fact_artifact_event (structured).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_dispatch_event | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership with idempotent event envelopes.
actual_tool_scan,Actual tool scan captured in fact_arrival_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_arrival_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
artifact_id,Artifact id captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_dispatch_event | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
asset_tag_capture_flag,Asset tag capture flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
assignment_id,Assignment id captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
background_check_status,Background check status captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
billable_hours,Billable hours captured in fact_closeout_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
blackout_flag,Blackout flag captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
blocker_notice_timestamp,Blocker notice timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_escalation_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
bom_review_completed_flag,Bom review completed flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
bom_review_flag,Bom review flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
bom_version,Bom version captured in fact_tool_check_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
calendar_block_state,Calendar block state captured in fact_dispatch_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_dispatch_event,Recommend field_app ownership with idempotent event envelopes.
cancel_timestamp,Cancel timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
checkin_message_flag,Checkin message flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_escalation_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
checkin_timestamp,Checkin timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
clean_leave_behind_score,Clean leave behind score captured in fact_feedback_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_feedback_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
closeout_flag,Closeout flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
closeout_submit_timestamp,Closeout submit timestamp captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
coaching_acceptance_flag,Coaching acceptance flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event | core.fact_feedback_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
coaching_feedback_timestamp,Coaching feedback timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
complaint_count,Complaint count captured in fact_feedback_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_feedback_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
compliance_check_id,Compliance check id captured in fact_runbook_step_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_runbook_step_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
compliment_count,Compliment count captured in fact_feedback_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_feedback_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
configuration_accuracy_flag,Configuration accuracy flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_qc_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
credential_expiry_date,Credential expiry date captured in fact_runbook_step_event (structured).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event,Recommend field_app ownership with idempotent event envelopes.
credential_or_constraint_type,Credential or constraint type captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
credential_status,Credential status captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event,Recommend field_app ownership with idempotent event envelopes.
credential_type,Credential type captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
cross_domain_job_flag,Cross domain job flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event | core.fact_feedback_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
csat_score,Csat score captured in fact_feedback_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_feedback_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
customer_notes_review_flag,Customer notes review flag captured in fact_arrival_event (semi_structured_or_text).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
customer_signature_flag,Customer signature flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
customer_signoff_timestamp,Customer signoff timestamp captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
customer_update_count,Customer update count captured in fact_arrival_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_arrival_event | core.fact_escalation_event | core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
decline_flag,Decline flag captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
defect_count,Defect count captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
defect_exception_flag,Defect exception flag captured in fact_qc_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_qc_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
defect_flag,Defect flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
dependency_block_min,Dependency block min captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
docs_opened_count,Docs opened count captured in fact_tool_check_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_tool_check_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
documentation_artifact_id,Documentation artifact id captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
documentation_pass_flag,Documentation pass flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
drug_test_status,Drug test status captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
effective_date,Effective date captured in bronze_technician_profile_snapshot (structured).,either,"Canonical master value usually lives server-side, but the field app should echo the resolved value in event envelopes for joins and offline correctness.",yes,bronze_technician_profile_snapshot | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend backend as master owner and field_app as mirror in emitted events.
escalation_id,Escalation id captured in fact_arrival_event (structured).,field_app,Best observed on-device or during technician workflow; backend cannot reconstruct it reliably without first-party field telemetry.,yes,core.fact_arrival_event | core.fact_escalation_event | core.fact_travel_event,"Recommend field_app ownership with explicit location consent, local encryption, and offline queueing."
escalation_quality_score,Escalation quality score captured in fact_arrival_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_arrival_event | core.fact_escalation_event | core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
eta_ack_timestamp,Eta ack timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
eta_update_timestamp,Eta update timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_dispatch_event | core.fact_escalation_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
evidence_complete_flag,Evidence complete flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
evidence_span_or_attachment_ref,Evidence span or attachment ref captured in bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
exception_flag,Exception flag captured in fact_runbook_step_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_runbook_step_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
execution_flag,Execution flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
expectation_setting_score,Expectation setting score captured in fact_feedback_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_feedback_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
expense_approved_flag,Expense approved flag captured in fact_closeout_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_closeout_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
expense_submit_timestamp,Expense submit timestamp captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
expense_variance_pct,Expense variance percent captured in fact_closeout_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_closeout_event | core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
expiry_date,Expiry date captured in bronze_technician_profile_snapshot (structured).,either,"Canonical master value usually lives server-side, but the field app should echo the resolved value in event envelopes for joins and offline correctness.",yes,bronze_technician_profile_snapshot | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend backend as master owner and field_app as mirror in emitted events.
extract_confidence,Extract confidence captured in bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=boolean_from_explicit_yes_no_or_required_phrase,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=carrier_name_from_order_form_or_service_schedule,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=change_order_mode_from_contract_clause,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=company_name_from_doc_header_or_signature,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=contact_email_from_email_headers_or_body,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=contact_name_from_email_signature_or_contacts_table,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=contact_phone_from_signature_or_contact_block,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=currency_from_fee_table_or_commercial_clause,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=currency_from_not_to_exceed_clause_or_fee_table,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=date_from_explicit_calendar_mentions,Document extraction signal from bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=device_type_list_from_scope_or_bom,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=effective_date_from_signature_block_or_header,Document extraction signal from bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=enum_from_allowed_value_match,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=identifier_from_reference_table_or_clause,Document extraction signal from bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=identifier_from_reference_table_or_explicit_label,Document extraction signal from bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=iso_currency_code_from_fee_table_or_contract,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=measurement_from_spec_table_or_inline,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=numeric_from_change_order_or_po_clause,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=numeric_from_explicit_count_or_table,Document extraction signal from bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=numeric_from_rate_card_or_pricing_table,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=numeric_from_schedule_clause_or_module,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=percentage_from_fee_table,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
extractor=policy_from_acceptance_section_or_redlines,Document extraction signal from bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
