metric_name,description,origin_candidate,rationale,required_for_model,azure_target_table,notes
pm_response_timestamp,Pm response timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_escalation_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
policy_requirement_flag,Policy requirement flag captured in fact_runbook_step_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_runbook_step_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
portal_update_flag,Portal update flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
power_charging_ready_flag,Power charging ready flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
ppe_compliance_flag,Ppe compliance flag captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
professionalism_score,Professionalism score captured in fact_feedback_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_feedback_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
profile_text_or_list_value,Profile text or list value captured in bronze_technician_profile_snapshot (semi_structured_or_text).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
punchlist_closed_flag,Punchlist closed flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
punchlist_count,Punchlist count captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
qc_checks_completed,Qc checks completed captured in fact_closeout_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_travel_event,Recommend field_app ownership with idempotent event envelopes.
qc_task_id,Qc task id captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_qc_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
radius_15_timestamp,Radius 15 timestamp captured in fact_travel_event (structured).,field_app,Best observed on-device or during technician workflow; backend cannot reconstruct it reliably without first-party field telemetry.,yes,core.fact_travel_event,"Recommend field_app ownership with explicit location consent, local encryption, and offline queueing."
radius_30_timestamp,Radius 30 timestamp captured in fact_travel_event (structured).,field_app,Best observed on-device or during technician workflow; backend cannot reconstruct it reliably without first-party field telemetry.,yes,core.fact_travel_event,"Recommend field_app ownership with explicit location consent, local encryption, and offline queueing."
raw_profile_field_value,Raw profile field value captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
record_id,Record id captured in bronze_technician_profile_snapshot (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,no,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
region_or_language_if_applicable,Region or language if applicable captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
reminder_response_timestamp,Reminder response timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
repeat_request_flag,Repeat request flag captured in fact_feedback_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_feedback_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
required_doc_list,Required doc list captured in fact_tool_check_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
required_docs_opened_flag,Required docs opened flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
required_ppe_present_flag,Required ppe present flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
required_tool_manifest_id,Required tool manifest id captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
required_tools_present_flag,Required tools present flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
reschedule_flag,Reschedule flag captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
response_timestamp,Response timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
restricted_clearance_status,Restricted clearance status captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
retest_cycle_count,Retest cycle count captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event | core.fact_qc_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
retest_flag,Retest flag captured in fact_qc_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_qc_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
return_visit_flag,Return visit flag captured in fact_closeout_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
review_feedback,Review feedback captured in fact_artifact_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_artifact_event | core.fact_domain_tool_log,Recommend field_app ownership with idempotent event envelopes.
review_timestamp,Review timestamp captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
reviewer_id,Reviewer id captured in fact_qc_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_qc_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
rework_cycle_count,Rework cycle count captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
rework_flag,Rework flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
risk_flag_ack_flag,Risk flag ack flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
route_departure_timestamp,Route departure timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
route_plan_created_timestamp,Route plan created timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
runbook_version,Runbook version captured in fact_arrival_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_arrival_event | core.fact_dispatch_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
safety_report_timestamp,Safety report timestamp captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
schedule_conflict_flag,Schedule conflict flag captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
scheduled_start_timestamp,Scheduled start timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_dispatch_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
scope_deviation_flag,Scope deviation flag captured in fact_runbook_step_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
serial_capture_flag,Serial capture flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
serial_review_status,Serial review status captured in fact_artifact_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_artifact_event,Recommend field_app ownership with idempotent event envelopes.
serial_value,Serial value captured in fact_artifact_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_artifact_event,Recommend field_app ownership with idempotent event envelopes.
shift_start_timestamp,Shift start timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
signoff_without_punchlist_flag,Signoff without punchlist flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_qc_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
site_constraint_ack_flag,Site constraint ack flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
site_contact_rating,Site contact rating captured in fact_feedback_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_feedback_event,Recommend field_app ownership with idempotent event envelopes.
site_contact_reached_timestamp,Site contact reached timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_feedback_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
site_contact_required_flag,Site contact required flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_feedback_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
snapshot_date,Snapshot date captured in bronze_technician_profile_snapshot (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
source_artifact_id,Source artifact id captured in bronze_deal_yaml_context (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
source_precedence_rank,Source precedence rank captured in bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
source_snapshot_version,Source snapshot version captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
source_system,Source system captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
source_type,Source type captured in bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
spares_ready_flag,Spares ready flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
status_change_log_flag,Status change log flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_escalation_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
status_flag,Status flag captured in bronze_technician_profile_snapshot (structured).,either,"Canonical master value usually lives server-side, but the field app should echo the resolved value in event envelopes for joins and offline correctness.",yes,bronze_technician_profile_snapshot | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend backend as master owner and field_app as mirror in emitted events.
step_end_timestamp,Step end timestamp captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
step_family,Step family captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_domain_tool_log,Recommend field_app ownership with idempotent event envelopes.
step_instance_id,Step instance id captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
step_sequence_preview_flag,Step sequence preview flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
step_start_timestamp,Step start timestamp captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_qc_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
subdomain_coverage_count,Subdomain coverage count captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event | core.fact_dispatch_event | core.fact_feedback_event | core.fact_runbook_step_event | core.fact_tool_check_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
subdomain_id,Subdomain id captured in fact_runbook_step_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_runbook_step_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
tasks_completed,Tasks completed captured in fact_closeout_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_travel_event,Recommend field_app ownership with idempotent event envelopes.
technician_id,Technician id captured in bronze_technician_profile_snapshot (structured).,either,"Canonical master value usually lives server-side, but the field app should echo the resolved value in event envelopes for joins and offline correctness.",yes,bronze_technician_profile_snapshot | core.fact_arrival_event | core.fact_artifact_event | core.fact_domain_tool_log | core.fact_closeout_event | core.fact_dispatch_event | core.fact_escalation_event | core.fact_feedback_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_tool_check_event | core.fact_travel_event,Recommend backend as master owner and field_app as mirror in emitted events.
tester_meter_ready_flag,Tester meter ready flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
timecard_approved_flag,Timecard approved flag captured in fact_closeout_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
timecard_submit_timestamp,Timecard submit timestamp captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
timestamp,Timestamp captured in bronze_technician_profile_snapshot (structured).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,no,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
toll_transit_cost,Toll transit cost captured in fact_travel_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_travel_event,Recommend field_app ownership with idempotent event envelopes.
tool_checklist_id,Tool checklist id captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
tool_mastery_score,Tool mastery score captured in fact_artifact_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_artifact_event | core.fact_dispatch_event | core.fact_feedback_event | core.fact_runbook_step_event | core.fact_tool_check_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
toolbox_talk_flag,Toolbox talk flag captured in fact_escalation_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_escalation_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
training_completion_timestamp,Training completion timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
training_current_flag,Training current flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event | core.fact_feedback_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
training_event_id,Training event id captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event | core.fact_feedback_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
travel_minutes,Travel minutes captured in fact_closeout_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
unsafe_condition_escalation_flag,Unsafe condition escalation flag captured in fact_escalation_event (structured).,field_app,Best observed on-device or during technician workflow; backend cannot reconstruct it reliably without first-party field telemetry.,yes,core.fact_escalation_event | core.fact_runbook_step_event | core.fact_tool_check_event,"Recommend field_app ownership with explicit location consent, local encryption, and offline queueing."
validation_result,Validation result captured in fact_qc_event (structured).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_qc_event | core.fact_domain_tool_log,Recommend field_app ownership with idempotent event envelopes.
vehicle_compliance_status,Vehicle compliance status captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
work_minutes,Work minutes captured in fact_closeout_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
work_start_timestamp,Work start timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
