raw_token,origin_candidate,recommended_raw_objects,coverage_status,file_path,function_or_component,event_name,sample_payload,explanation
accept_flag,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
access_granted_timestamp,field_app,fact_arrival_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
action_log,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
activation_domain,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
actual_mileage,either,fact_travel_event,PARTIAL,"src/pages/TimeLog.jsx:226-246; public/openapi.yaml:248-279,586-617",TimeLog.submitTimeEntry / TimeEntryCreate,work_start|work_stop|break_start|break_end|travel_start|travel_end,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""timestamp"":""2026-03-16T08:45:00.000Z"",""source"":""app"",""sync_status"":""pending""}",Time entries are created explicitly and can be used to derive travel/work timestamps and durations.
actual_step_duration_min,field_app,fact_artifact_event / fact_domain_tool_log; fact_dispatch_event; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event; fact_runbook_step_event / fact_domain_tool_log,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
actual_tool_scan,field_app,fact_arrival_event; fact_tool_check_event,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
artifact_id,field_app,fact_artifact_event; fact_artifact_event / fact_domain_tool_log; fact_dispatch_event; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event / fact_domain_tool_log,PRESENT,functions/registerEvidence.ts (manual repo review),POST /mock/api/evidence,registerEvidence,"{""workOrderId"":""job_123"",""siteId"":""site_456"",""uploaderId"":""tech_123"",""blobUrl"":""https://storage/evidence.jpg"",""captureTs"":""2026-03-16T09:12:33.000Z"",""captureLat"":51.5074,""captureLon"":-0.1278,""mimeType"":""image/jpeg"",""sha256"":""abc123"",""runbookStepId"":""step_phase2_3""}","Manual function creates Evidence, UploadManifest, Activity(upload), and AuditLog(evidence_upload)."
asset_tag_capture_flag,field_app,fact_artifact_event; fact_dispatch_event,PARTIAL,"src/hooks/useUploadQueue.js:143-158,246-279",useUploadQueue.uploadItemOnce / addToQueue,evidence_upload,"{""client_event_id"":""evt-kp2m4q-b7e03c1f"",""job_id"":""job_123"",""capture_ts"":""2026-03-16T09:12:33.000Z"",""face_blur"":true,""tags"":[""before_photo""],""serial_number"":""SN-12345""}","Evidence metadata is captured with offline retry, but atlas artifact lifecycle events are not emitted."
assignment_id,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
background_check_status,field_app,fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
billable_hours,either,fact_closeout_event; fact_qc_event; fact_runbook_step_event; fact_travel_event,PARTIAL,"src/pages/TimeLog.jsx:34-54,226-246",TimeLog.calculateDurations / submitTimeEntry,derived_time_metrics,"{""job_id"":""job_123"",""work_seconds"":5400,""travel_seconds"":1800,""break_seconds"":900}","Durations are derived in the UI from timestamp pairs, not persisted as canonical atlas metrics."
blackout_flag,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
blocker_notice_timestamp,field_app,fact_arrival_event; fact_escalation_event; fact_travel_event,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
bom_review_completed_flag,field_app,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
bom_review_flag,field_app,fact_arrival_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
bom_version,field_app,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
calendar_block_state,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
cancel_timestamp,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
checkin_message_flag,field_app,fact_arrival_event; fact_escalation_event; fact_travel_event,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
checkin_timestamp,field_app,fact_arrival_event,PRESENT,"src/hooks/useJobQueue.js:20-27,97-148",useJobQueue.startTimer / eventTypeToJobUpdate,check_in,"{""client_event_id"":""evt-lp4abc-xyz"",""job_id"":""job_123"",""event_type"":""check_in"",""assignee_id"":""tech@example.com"",""device_ts"":""2026-03-16T15:49:00Z"",""device_meta"":{""battery"":null,""gps_accuracy"":null}}","Optimistic check-in queue stores timestamp and assignee email, then mutates Job.check_in_time/status."
clean_leave_behind_score,either,fact_feedback_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
closeout_flag,field_app,fact_artifact_event / fact_domain_tool_log,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
closeout_submit_timestamp,field_app,fact_artifact_event; fact_closeout_event,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
coaching_acceptance_flag,field_app,fact_artifact_event; fact_dispatch_event; fact_feedback_event; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
coaching_feedback_timestamp,field_app,fact_dispatch_event; fact_runbook_step_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
complaint_count,either,fact_feedback_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
compliance_check_id,field_app,fact_runbook_step_event / fact_domain_tool_log,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
compliment_count,either,fact_feedback_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
configuration_accuracy_flag,field_app,fact_artifact_event; fact_qc_event,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
credential_expiry_date,field_app,fact_runbook_step_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
credential_or_constraint_type,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
credential_status,field_app,fact_runbook_step_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
credential_type,field_app,fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
cross_domain_job_flag,field_app,fact_artifact_event; fact_dispatch_event; fact_feedback_event; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
csat_score,either,fact_feedback_event,PARTIAL,src/lib/types/index.ts:42-48,Job type,closeout_signoff_fields,"{""signoff_signature_url"":""https://cdn/signature.png"",""signoff_csat"":5,""signoff_notes"":""Customer approved""}",Closeout fields exist in types but are not emitted via an ingestion route in the accessible code.
customer_notes_review_flag,field_app,fact_arrival_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
customer_signature_flag,field_app,fact_artifact_event; fact_dispatch_event,PARTIAL,src/lib/types/index.ts:42-48,Job type,closeout_signoff_fields,"{""signoff_signature_url"":""https://cdn/signature.png"",""signoff_csat"":5,""signoff_notes"":""Customer approved""}",Closeout fields exist in types but are not emitted via an ingestion route in the accessible code.
customer_signoff_timestamp,field_app,fact_artifact_event; fact_closeout_event,PARTIAL,src/lib/types/index.ts:42-48,Job type,closeout_signoff_fields,"{""signoff_signature_url"":""https://cdn/signature.png"",""signoff_csat"":5,""signoff_notes"":""Customer approved""}",Closeout fields exist in types but are not emitted via an ingestion route in the accessible code.
customer_update_count,either,fact_arrival_event; fact_escalation_event; fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
decline_flag,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
defect_count,either,fact_artifact_event; fact_artifact_event / fact_domain_tool_log; fact_qc_event; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event / fact_domain_tool_log,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
defect_exception_flag,field_app,fact_qc_event / fact_domain_tool_log,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
defect_flag,field_app,fact_artifact_event / fact_domain_tool_log; fact_qc_event; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event / fact_domain_tool_log,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
dependency_block_min,field_app,fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
docs_opened_count,either,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
documentation_artifact_id,field_app,fact_artifact_event / fact_domain_tool_log,PARTIAL,functions/registerEvidence.ts (manual repo review),POST /mock/api/evidence,registerEvidence,"{""workOrderId"":""job_123"",""siteId"":""site_456"",""uploaderId"":""tech_123"",""blobUrl"":""https://storage/evidence.jpg"",""captureTs"":""2026-03-16T09:12:33.000Z"",""captureLat"":51.5074,""captureLon"":-0.1278,""mimeType"":""image/jpeg"",""sha256"":""abc123"",""runbookStepId"":""step_phase2_3""}","Manual function creates Evidence, UploadManifest, Activity(upload), and AuditLog(evidence_upload)."
documentation_pass_flag,field_app,fact_artifact_event / fact_domain_tool_log,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
drug_test_status,field_app,fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
effective_date,either,bronze_technician_profile_snapshot; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
escalation_id,field_app,fact_arrival_event; fact_escalation_event; fact_travel_event,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
escalation_quality_score,either,fact_arrival_event; fact_escalation_event; fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
eta_ack_timestamp,field_app,fact_dispatch_event; fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
eta_update_timestamp,field_app,fact_arrival_event; fact_dispatch_event; fact_escalation_event; fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
evidence_complete_flag,field_app,fact_artifact_event / fact_domain_tool_log; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event / fact_domain_tool_log,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
evidence_span_or_attachment_ref,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
exception_flag,field_app,fact_runbook_step_event / fact_domain_tool_log,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
execution_flag,field_app,fact_artifact_event / fact_domain_tool_log; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event / fact_domain_tool_log,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
expectation_setting_score,either,fact_feedback_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
expense_approved_flag,field_app,fact_closeout_event; fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
expense_submit_timestamp,field_app,fact_artifact_event; fact_closeout_event; fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
expense_variance_pct,either,fact_closeout_event; fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
expiry_date,either,bronze_technician_profile_snapshot; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
extract_confidence,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=boolean_from_explicit_yes_no_or_required_phrase,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=carrier_name_from_order_form_or_service_schedule,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=change_order_mode_from_contract_clause,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=company_name_from_doc_header_or_signature,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=contact_email_from_email_headers_or_body,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=contact_name_from_email_signature_or_contacts_table,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=contact_phone_from_signature_or_contact_block,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=currency_from_fee_table_or_commercial_clause,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=currency_from_not_to_exceed_clause_or_fee_table,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=date_from_explicit_calendar_mentions,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=device_type_list_from_scope_or_bom,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=effective_date_from_signature_block_or_header,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=enum_from_allowed_value_match,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=identifier_from_reference_table_or_clause,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=identifier_from_reference_table_or_explicit_label,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=iso_currency_code_from_fee_table_or_contract,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=measurement_from_spec_table_or_inline,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=numeric_from_change_order_or_po_clause,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=numeric_from_explicit_count_or_table,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
extractor=numeric_from_rate_card_or_pricing_table,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
