raw_token,origin_candidate,recommended_raw_objects,coverage_status,file_path,function_or_component,event_name,sample_payload,explanation
profile_text_or_list_value,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
punchlist_closed_flag,field_app,fact_artifact_event; fact_closeout_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
punchlist_count,either,fact_artifact_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
qc_checks_completed,field_app,fact_closeout_event; fact_qc_event; fact_runbook_step_event; fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
qc_task_id,field_app,fact_artifact_event; fact_qc_event,PARTIAL,functions/submitLabel.ts (manual repo review),POST /mock/api/labels,label_applied,"{""evidenceId"":""ev_123"",""jobId"":""job_123"",""labelerId"":""qc@example.com"",""label"":""defect"",""confidence"":0.94,""bbox"":{""x"":0.12,""y"":0.21,""w"":0.33,""h"":0.18},""approvedForTraining"":true}","Manual label ingestion captures confidence, bbox and training approval, but review fields are not fully wired end-to-end."
radius_15_timestamp,field_app,fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
radius_30_timestamp,field_app,fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
raw_profile_field_value,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
record_id,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
region_or_language_if_applicable,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
reminder_response_timestamp,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
repeat_request_flag,field_app,fact_feedback_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
required_doc_list,field_app,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
required_docs_opened_flag,field_app,fact_arrival_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
required_ppe_present_flag,field_app,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
required_tool_manifest_id,field_app,fact_arrival_event; fact_tool_check_event,PARTIAL,"src/lib/types/index.ts:7-53,71-103",Job / RunbookPhase / EvidenceRequirement / FieldSchema types,job_context_snapshot,"{""job_id"":""job_123"",""site_id"":""site_456"",""scheduled_date"":""2026-03-16"",""site_lat"":51.5074,""site_lon"":-0.1278}","Job context is modeled on the client, but no explicit fact_job_context_field emission was found."
required_tools_present_flag,field_app,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
reschedule_flag,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
response_timestamp,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
restricted_clearance_status,field_app,fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
retest_cycle_count,either,fact_artifact_event; fact_qc_event,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
retest_flag,field_app,fact_qc_event,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
return_visit_flag,field_app,fact_closeout_event; fact_qc_event; fact_runbook_step_event; fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
review_feedback,field_app,fact_artifact_event / fact_domain_tool_log,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
review_timestamp,field_app,fact_artifact_event / fact_domain_tool_log; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event / fact_domain_tool_log,PARTIAL,functions/submitLabel.ts (manual repo review),POST /mock/api/labels,label_applied,"{""evidenceId"":""ev_123"",""jobId"":""job_123"",""labelerId"":""qc@example.com"",""label"":""defect"",""confidence"":0.94,""bbox"":{""x"":0.12,""y"":0.21,""w"":0.33,""h"":0.18},""approvedForTraining"":true}","Manual label ingestion captures confidence, bbox and training approval, but review fields are not fully wired end-to-end."
reviewer_id,field_app,fact_qc_event / fact_domain_tool_log,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
rework_cycle_count,either,fact_artifact_event; fact_artifact_event / fact_domain_tool_log; fact_qc_event; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event / fact_domain_tool_log,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
rework_flag,field_app,fact_artifact_event / fact_domain_tool_log; fact_qc_event; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event / fact_domain_tool_log,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
risk_flag_ack_flag,field_app,fact_arrival_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
route_departure_timestamp,field_app,fact_dispatch_event; fact_travel_event,PRESENT,"src/pages/TimeLog.jsx:226-246; public/openapi.yaml:248-279,586-617",TimeLog.submitTimeEntry / TimeEntryCreate,work_start|work_stop|break_start|break_end|travel_start|travel_end,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""timestamp"":""2026-03-16T08:45:00.000Z"",""source"":""app"",""sync_status"":""pending""}",Time entries are created explicitly and can be used to derive travel/work timestamps and durations.
route_plan_created_timestamp,field_app,fact_dispatch_event; fact_travel_event,MISSING,,,,,"Expected as an explicit atlas event field, but no matching capture path was found."
runbook_version,field_app,fact_arrival_event; fact_dispatch_event; fact_runbook_step_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,PARTIAL,"src/lib/types/index.ts:7-53,71-103",Job / RunbookPhase / EvidenceRequirement / FieldSchema types,job_context_snapshot,"{""job_id"":""job_123"",""site_id"":""site_456"",""scheduled_date"":""2026-03-16"",""site_lat"":51.5074,""site_lon"":-0.1278}","Job context is modeled on the client, but no explicit fact_job_context_field emission was found."
safety_report_timestamp,field_app,fact_escalation_event; fact_runbook_step_event,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
schedule_conflict_flag,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
scheduled_start_timestamp,field_app,fact_arrival_event; fact_dispatch_event; fact_travel_event,PARTIAL,"src/lib/types/index.ts:7-53,71-103",Job / RunbookPhase / EvidenceRequirement / FieldSchema types,job_context_snapshot,"{""job_id"":""job_123"",""site_id"":""site_456"",""scheduled_date"":""2026-03-16"",""site_lat"":51.5074,""site_lon"":-0.1278}","Job context is modeled on the client, but no explicit fact_job_context_field emission was found."
scope_deviation_flag,field_app,fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
serial_capture_flag,field_app,fact_artifact_event; fact_dispatch_event,PARTIAL,"src/hooks/useUploadQueue.js:143-158,246-279",useUploadQueue.uploadItemOnce / addToQueue,evidence_upload,"{""client_event_id"":""evt-kp2m4q-b7e03c1f"",""job_id"":""job_123"",""capture_ts"":""2026-03-16T09:12:33.000Z"",""face_blur"":true,""tags"":[""before_photo""],""serial_number"":""SN-12345""}","Evidence metadata is captured with offline retry, but atlas artifact lifecycle events are not emitted."
serial_review_status,field_app,fact_artifact_event,MISSING,,,,,NOT FOUND in searched repo subset/manual function review.
serial_value,field_app,fact_artifact_event,PARTIAL,"src/hooks/useUploadQueue.js:143-158,246-279",useUploadQueue.uploadItemOnce / addToQueue,evidence_upload,"{""client_event_id"":""evt-kp2m4q-b7e03c1f"",""job_id"":""job_123"",""capture_ts"":""2026-03-16T09:12:33.000Z"",""face_blur"":true,""tags"":[""before_photo""],""serial_number"":""SN-12345""}","Evidence metadata is captured with offline retry, but atlas artifact lifecycle events are not emitted."
shift_start_timestamp,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
signoff_without_punchlist_flag,field_app,fact_artifact_event; fact_qc_event,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
site_constraint_ack_flag,field_app,fact_arrival_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
site_contact_rating,field_app,fact_feedback_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
site_contact_reached_timestamp,field_app,fact_arrival_event; fact_feedback_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
site_contact_required_flag,field_app,fact_arrival_event; fact_feedback_event,PARTIAL,"src/lib/types/index.ts:7-53,71-103",Job / RunbookPhase / EvidenceRequirement / FieldSchema types,job_context_snapshot,"{""job_id"":""job_123"",""site_id"":""site_456"",""scheduled_date"":""2026-03-16"",""site_lat"":51.5074,""site_lon"":-0.1278}","Job context is modeled on the client, but no explicit fact_job_context_field emission was found."
snapshot_date,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
source_artifact_id,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
source_precedence_rank,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
source_snapshot_version,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
source_system,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
source_type,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
spares_ready_flag,field_app,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
status_change_log_flag,field_app,fact_arrival_event; fact_escalation_event; fact_travel_event,PARTIAL,"src/lib/fieldAdapters.js:22-33,78-90,135-160,186-224,244-263",writeAudit / updateJob / createEvidence / createLabel / logActivity,AuditLog / Activity,"{""action_type"":""job_status_change"",""entity_type"":""Job"",""job_id"":""job_123"",""client_ts"":""2026-03-16T08:45:00.000Z""}","Audit and activity adapters preserve some operational signals, but not the required raw event families."
status_flag,either,bronze_technician_profile_snapshot; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
step_end_timestamp,field_app,fact_artifact_event / fact_domain_tool_log; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
step_family,field_app,fact_runbook_step_event / fact_domain_tool_log,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
step_instance_id,field_app,fact_artifact_event / fact_domain_tool_log; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
step_sequence_preview_flag,field_app,fact_arrival_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
step_start_timestamp,field_app,fact_artifact_event / fact_domain_tool_log; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
subdomain_coverage_count,either,fact_artifact_event; fact_dispatch_event; fact_feedback_event; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
subdomain_id,field_app,fact_runbook_step_event / fact_domain_tool_log,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
tasks_completed,field_app,fact_closeout_event; fact_qc_event; fact_runbook_step_event; fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
technician_id,either,bronze_technician_profile_snapshot; fact_arrival_event; fact_artifact_event; fact_artifact_event / fact_domain_tool_log; fact_closeout_event; fact_dispatch_event; fact_escalation_event; fact_feedback_event; fact_qc_event; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event; fact_travel_event,PARTIAL,"src/hooks/useJobQueue.js:20-27,97-148",useJobQueue.startTimer / eventTypeToJobUpdate,check_in,"{""client_event_id"":""evt-lp4abc-xyz"",""job_id"":""job_123"",""event_type"":""check_in"",""assignee_id"":""tech@example.com"",""device_ts"":""2026-03-16T15:49:00Z"",""device_meta"":{""battery"":null,""gps_accuracy"":null}}","Optimistic check-in queue stores timestamp and assignee email, then mutates Job.check_in_time/status."
tester_meter_ready_flag,field_app,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
timecard_approved_flag,field_app,fact_closeout_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
timecard_submit_timestamp,field_app,fact_artifact_event; fact_closeout_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
timestamp,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
toll_transit_cost,field_app,fact_travel_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
tool_checklist_id,field_app,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
tool_mastery_score,either,fact_artifact_event; fact_dispatch_event; fact_feedback_event; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
toolbox_talk_flag,field_app,fact_escalation_event; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
training_completion_timestamp,field_app,fact_dispatch_event; fact_runbook_step_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
training_current_flag,field_app,fact_artifact_event; fact_dispatch_event; fact_feedback_event; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
training_event_id,field_app,fact_artifact_event; fact_dispatch_event; fact_feedback_event; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
travel_minutes,either,fact_closeout_event; fact_qc_event; fact_runbook_step_event; fact_travel_event,PARTIAL,"src/pages/TimeLog.jsx:34-54,226-246",TimeLog.calculateDurations / submitTimeEntry,derived_time_metrics,"{""job_id"":""job_123"",""work_seconds"":5400,""travel_seconds"":1800,""break_seconds"":900}","Durations are derived in the UI from timestamp pairs, not persisted as canonical atlas metrics."
unsafe_condition_escalation_flag,field_app,fact_escalation_event; fact_runbook_step_event; fact_tool_check_event,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
validation_result,field_app,fact_qc_event / fact_domain_tool_log,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
vehicle_compliance_status,field_app,fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
work_minutes,either,fact_closeout_event; fact_qc_event; fact_runbook_step_event; fact_travel_event,PARTIAL,"src/pages/TimeLog.jsx:34-54,226-246",TimeLog.calculateDurations / submitTimeEntry,derived_time_metrics,"{""job_id"":""job_123"",""work_seconds"":5400,""travel_seconds"":1800,""break_seconds"":900}","Durations are derived in the UI from timestamp pairs, not persisted as canonical atlas metrics."
work_start_timestamp,field_app,fact_arrival_event,PRESENT,"src/hooks/useJobQueue.js:20-27,97-148",useJobQueue.startTimer / eventTypeToJobUpdate,work_start,"{""client_event_id"":""evt-lp4abc-xyz"",""job_id"":""job_123"",""event_type"":""work_start"",""assignee_id"":""tech@example.com"",""device_ts"":""2026-03-16T15:49:00Z"",""device_meta"":{""battery"":null,""gps_accuracy"":null}}","Work start is queued offline and updates Job.work_start_time/status, but not as immutable atlas event."
