model_name,category,dataset_or_store,feature_group_examples,label_or_target,outputs,output_table,training_cadence,ui_surfaces
Eligibility Gate,gating,dim_technician,credentials; geography; language; customer restrictions; schedule,eligibility decision / false exclusion review,"eligibility_mask, hard_constraint_reason_codes",fact_job_tech_fit_score / serving_model_explanation_cache,rule deploy as needed; classifier weekly,none directly; powers candidate set and watchouts
Eligibility Gate,gating,dim_technician_credential,tool eligibility,eligibility decision / false exclusion review,"eligibility_mask, hard_constraint_reason_codes",fact_job_tech_fit_score / serving_model_explanation_cache,rule deploy as needed; classifier weekly,none directly; powers candidate set and watchouts
Eligibility Gate,gating,dim_technician_tool_inventory,tool eligibility,eligibility decision / false exclusion review,"eligibility_mask, hard_constraint_reason_codes",fact_job_tech_fit_score / serving_model_explanation_cache,rule deploy as needed; classifier weekly,none directly; powers candidate set and watchouts
Eligibility Gate,gating,dim_job,tool eligibility,eligibility decision / false exclusion review,"eligibility_mask, hard_constraint_reason_codes",fact_job_tech_fit_score / serving_model_explanation_cache,rule deploy as needed; classifier weekly,none directly; powers candidate set and watchouts
Eligibility Gate,gating,fact_job_context_field,tool eligibility,eligibility decision / false exclusion review,"eligibility_mask, hard_constraint_reason_codes",fact_job_tech_fit_score / serving_model_explanation_cache,rule deploy as needed; classifier weekly,none directly; powers candidate set and watchouts
Trust Composer,score_composer,fact_technician_skill_state_daily,completeness; consistency; support evidence; calibration; in-distribution,stable trust score calibrated against realized outcomes,"trust_score, trust_band, trust_decomposition_*",fact_job_tech_fit_score; serving_model_explanation_cache,daily recompute; monthly weight review,"Overview, Fit & Trust"
Trust Composer,score_composer,fact_technician_domain_state_daily,neighbor agreement,stable trust score calibrated against realized outcomes,"trust_score, trust_band, trust_decomposition_*",fact_job_tech_fit_score; serving_model_explanation_cache,daily recompute; monthly weight review,"Overview, Fit & Trust"
Trust Composer,score_composer,fact_job_outcome,neighbor agreement,stable trust score calibrated against realized outcomes,"trust_score, trust_band, trust_decomposition_*",fact_job_tech_fit_score; serving_model_explanation_cache,daily recompute; monthly weight review,"Overview, Fit & Trust"
Trust Composer,score_composer,gold_calibration_eval,neighbor agreement,stable trust score calibrated against realized outcomes,"trust_score, trust_band, trust_decomposition_*",fact_job_tech_fit_score; serving_model_explanation_cache,daily recompute; monthly weight review,"Overview, Fit & Trust"
Acceptance Rate Aggregator,heuristic,fact_dispatch_event,offer count; acceptance count; decline count; cancel count; response lag,n/a,"acceptance_rate_30d, acceptance_rate_90d, response_lag",fact_technician_skill_state_daily,hourly or daily,"Overview, Fit & Trust"
Jobs Completed Counter,heuristic,fact_job_outcome,completed jobs; cancelled jobs; redispatch jobs,n/a,"jobs_completed_lifetime, jobs_completed_90d, completed_by_domain",fact_technician_skill_state_daily / fact_technician_domain_state_daily,daily,"Overview, Skills & Certs, Past Jobs"
Rating Aggregator,heuristic,fact_feedback_event,rating mean; rating count; complaint count; compliment count,n/a,"rating_mean, rating_count, csat_proxy",fact_technician_skill_state_daily,daily,"Overview, Past Jobs"
No-Show / Cancellation Risk Model,risk,fact_dispatch_event,acceptance history; lateness history; travel load; schedule conflicts; customer/site friction,no_show_or_late_cancel_flag,"no_show_risk_score, cancel_risk_score",fact_job_tech_fit_score,weekly,"Risk & Conditions, watchouts"
No-Show / Cancellation Risk Model,risk,fact_travel_event,freshness,no_show_or_late_cancel_flag,"no_show_risk_score, cancel_risk_score",fact_job_tech_fit_score,weekly,"Risk & Conditions, watchouts"
No-Show / Cancellation Risk Model,risk,fact_arrival_event,freshness,no_show_or_late_cancel_flag,"no_show_risk_score, cancel_risk_score",fact_job_tech_fit_score,weekly,"Risk & Conditions, watchouts"
No-Show / Cancellation Risk Model,risk,gold_job_context_snapshot,freshness,no_show_or_late_cancel_flag,"no_show_risk_score, cancel_risk_score",fact_job_tech_fit_score,weekly,"Risk & Conditions, watchouts"
No-Show / Cancellation Risk Model,risk,fact_technician_skill_state_daily,freshness,no_show_or_late_cancel_flag,"no_show_risk_score, cancel_risk_score",fact_job_tech_fit_score,weekly,"Risk & Conditions, watchouts"
Late Arrival Risk Model,risk,fact_travel_event,drive time variance; local/regional radius; traffic/time windows; access friction; punctuality history,late_arrival_flag,"late_arrival_risk, eta_slip_minutes",fact_job_tech_fit_score,weekly,"Risk & Conditions, operating conditions"
Late Arrival Risk Model,risk,fact_arrival_event,drive time variance; local/regional radius; traffic/time windows; access friction; punctuality history,late_arrival_flag,"late_arrival_risk, eta_slip_minutes",fact_job_tech_fit_score,weekly,"Risk & Conditions, operating conditions"
Late Arrival Risk Model,risk,fact_dispatch_event,drive time variance; local/regional radius; traffic/time windows; access friction; punctuality history,late_arrival_flag,"late_arrival_risk, eta_slip_minutes",fact_job_tech_fit_score,weekly,"Risk & Conditions, operating conditions"
Late Arrival Risk Model,risk,dim_site,drive time variance; local/regional radius; traffic/time windows; access friction; punctuality history,late_arrival_flag,"late_arrival_risk, eta_slip_minutes",fact_job_tech_fit_score,weekly,"Risk & Conditions, operating conditions"
Late Arrival Risk Model,risk,gold_job_context_snapshot,drive time variance; local/regional radius; traffic/time windows; access friction; punctuality history,late_arrival_flag,"late_arrival_risk, eta_slip_minutes",fact_job_tech_fit_score,weekly,"Risk & Conditions, operating conditions"
Access Delay / Site Friction Model,risk,fact_arrival_event,access requirements; contact responsiveness; site friction history; after-hours rules; permits,access_delay_flag,"access_delay_risk, likely_friction_reasons",fact_job_tech_fit_score / serving_model_explanation_cache,weekly,Risk & Conditions
Access Delay / Site Friction Model,risk,fact_job_context_field,access requirements; contact responsiveness; site friction history; after-hours rules; permits,access_delay_flag,"access_delay_risk, likely_friction_reasons",fact_job_tech_fit_score / serving_model_explanation_cache,weekly,Risk & Conditions
Access Delay / Site Friction Model,risk,dim_site,access requirements; contact responsiveness; site friction history; after-hours rules; permits,access_delay_flag,"access_delay_risk, likely_friction_reasons",fact_job_tech_fit_score / serving_model_explanation_cache,weekly,Risk & Conditions
Access Delay / Site Friction Model,risk,fact_escalation_event,access requirements; contact responsiveness; site friction history; after-hours rules; permits,access_delay_flag,"access_delay_risk, likely_friction_reasons",fact_job_tech_fit_score / serving_model_explanation_cache,weekly,Risk & Conditions
QC Failure / First-Pass Model,quality,fact_runbook_step_event,step performance; rework loops; validation logs; similar-job history; domain depth,first_pass_qc_flag / qc_failure_flag,"first_pass_probability, qc_failure_risk",fact_job_tech_fit_score,weekly,"Fit & Trust, Skills & Certs, Risk & Conditions"
QC Failure / First-Pass Model,quality,fact_qc_event,step performance; rework loops; validation logs; similar-job history; domain depth,first_pass_qc_flag / qc_failure_flag,"first_pass_probability, qc_failure_risk",fact_job_tech_fit_score,weekly,"Fit & Trust, Skills & Certs, Risk & Conditions"
QC Failure / First-Pass Model,quality,fact_domain_tool_log,step performance; rework loops; validation logs; similar-job history; domain depth,first_pass_qc_flag / qc_failure_flag,"first_pass_probability, qc_failure_risk",fact_job_tech_fit_score,weekly,"Fit & Trust, Skills & Certs, Risk & Conditions"
QC Failure / First-Pass Model,quality,fact_technician_domain_state_daily,step performance; rework loops; validation logs; similar-job history; domain depth,first_pass_qc_flag / qc_failure_flag,"first_pass_probability, qc_failure_risk",fact_job_tech_fit_score,weekly,"Fit & Trust, Skills & Certs, Risk & Conditions"
QC Failure / First-Pass Model,quality,gold_job_context_snapshot,step performance; rework loops; validation logs; similar-job history; domain depth,first_pass_qc_flag / qc_failure_flag,"first_pass_probability, qc_failure_risk",fact_job_tech_fit_score,weekly,"Fit & Trust, Skills & Certs, Risk & Conditions"
Documentation Failure Model,quality,fact_artifact_event,artifact completeness; photo quality; note quality; signoff history; closeout admin discipline,documentation_failure_flag,"documentation_risk, evidence_completeness_forecast",fact_job_tech_fit_score,weekly,"Fit & Trust, Risk & Conditions, Past Jobs"
Documentation Failure Model,quality,fact_closeout_event,artifact completeness; photo quality; note quality; signoff history; closeout admin discipline,documentation_failure_flag,"documentation_risk, evidence_completeness_forecast",fact_job_tech_fit_score,weekly,"Fit & Trust, Risk & Conditions, Past Jobs"
Documentation Failure Model,quality,gold_job_context_snapshot,artifact completeness; photo quality; note quality; signoff history; closeout admin discipline,documentation_failure_flag,"documentation_risk, evidence_completeness_forecast",fact_job_tech_fit_score,weekly,"Fit & Trust, Risk & Conditions, Past Jobs"
Documentation Failure Model,quality,fact_technician_skill_state_daily,artifact completeness; photo quality; note quality; signoff history; closeout admin discipline,documentation_failure_flag,"documentation_risk, evidence_completeness_forecast",fact_job_tech_fit_score,weekly,"Fit & Trust, Risk & Conditions, Past Jobs"
Escalation / Blocker Risk Model,risk,fact_escalation_event,communication lag; blocker frequency; scope ambiguity; schedule changes; customer/site volatility,escalation_flag,"escalation_risk, blocker_risk",fact_job_tech_fit_score / serving_model_explanation_cache,weekly,Risk & Conditions watchouts
Escalation / Blocker Risk Model,risk,fact_runbook_step_event,communication lag; blocker frequency; scope ambiguity; schedule changes; customer/site volatility,escalation_flag,"escalation_risk, blocker_risk",fact_job_tech_fit_score / serving_model_explanation_cache,weekly,Risk & Conditions watchouts
Escalation / Blocker Risk Model,risk,fact_job_context_field,communication lag; blocker frequency; scope ambiguity; schedule changes; customer/site volatility,escalation_flag,"escalation_risk, blocker_risk",fact_job_tech_fit_score / serving_model_explanation_cache,weekly,Risk & Conditions watchouts
Escalation / Blocker Risk Model,risk,fact_dispatch_event,communication lag; blocker frequency; scope ambiguity; schedule changes; customer/site volatility,escalation_flag,"escalation_risk, blocker_risk",fact_job_tech_fit_score / serving_model_explanation_cache,weekly,Risk & Conditions watchouts
Duration Overrun Predictor,efficiency,fact_runbook_step_event,planned step durations; site/BOM size; complexity; historical cycle times; travel/access conditions,actual_duration_minutes,"expected_duration, p90_duration, overrun_risk",fact_job_tech_fit_score,weekly,"Past Jobs, Risk & Conditions, staffing planner"
Duration Overrun Predictor,efficiency,gold_job_context_snapshot,planned step durations; site/BOM size; complexity; historical cycle times; travel/access conditions,actual_duration_minutes,"expected_duration, p90_duration, overrun_risk",fact_job_tech_fit_score,weekly,"Past Jobs, Risk & Conditions, staffing planner"
Duration Overrun Predictor,efficiency,dim_site,planned step durations; site/BOM size; complexity; historical cycle times; travel/access conditions,actual_duration_minutes,"expected_duration, p90_duration, overrun_risk",fact_job_tech_fit_score,weekly,"Past Jobs, Risk & Conditions, staffing planner"
Duration Overrun Predictor,efficiency,fact_domain_tool_log,planned step durations; site/BOM size; complexity; historical cycle times; travel/access conditions,actual_duration_minutes,"expected_duration, p90_duration, overrun_risk",fact_job_tech_fit_score,weekly,"Past Jobs, Risk & Conditions, staffing planner"
Customer Experience Risk Model,experience,fact_feedback_event,professionalism history; communication style; documentation quality; customer sensitivity; regulated context,poor_csat_or_complaint_flag,"csat_risk, professionalism_risk",fact_job_tech_fit_score,weekly,"Risk & Conditions, Overview"
Customer Experience Risk Model,experience,fact_escalation_event,professionalism history; communication style; documentation quality; customer sensitivity; regulated context,poor_csat_or_complaint_flag,"csat_risk, professionalism_risk",fact_job_tech_fit_score,weekly,"Risk & Conditions, Overview"
Customer Experience Risk Model,experience,fact_artifact_event,professionalism history; communication style; documentation quality; customer sensitivity; regulated context,poor_csat_or_complaint_flag,"csat_risk, professionalism_risk",fact_job_tech_fit_score,weekly,"Risk & Conditions, Overview"
Customer Experience Risk Model,experience,fact_job_context_field,professionalism history; communication style; documentation quality; customer sensitivity; regulated context,poor_csat_or_complaint_flag,"csat_risk, professionalism_risk",fact_job_tech_fit_score,weekly,"Risk & Conditions, Overview"
Margin Erosion / Admin Risk Model,commercial,fact_closeout_event,duration variance; extra trips; expense/timecard issues; parts returns; billing complexity,margin_erosion_flag / gross_margin_delta,"margin_risk, admin_leakage_risk",fact_job_tech_fit_score,weekly,"Ops review, staffing economics"
Margin Erosion / Admin Risk Model,commercial,fact_runbook_step_event,duration variance; extra trips; expense/timecard issues; parts returns; billing complexity,margin_erosion_flag / gross_margin_delta,"margin_risk, admin_leakage_risk",fact_job_tech_fit_score,weekly,"Ops review, staffing economics"
Margin Erosion / Admin Risk Model,commercial,fact_travel_event,duration variance; extra trips; expense/timecard issues; parts returns; billing complexity,margin_erosion_flag / gross_margin_delta,"margin_risk, admin_leakage_risk",fact_job_tech_fit_score,weekly,"Ops review, staffing economics"
Margin Erosion / Admin Risk Model,commercial,fact_job_context_field,duration variance; extra trips; expense/timecard issues; parts returns; billing complexity,margin_erosion_flag / gross_margin_delta,"margin_risk, admin_leakage_risk",fact_job_tech_fit_score,weekly,"Ops review, staffing economics"
Margin Erosion / Admin Risk Model,commercial,fact_job_outcome,duration variance; extra trips; expense/timecard issues; parts returns; billing complexity,margin_erosion_flag / gross_margin_delta,"margin_risk, admin_leakage_risk",fact_job_tech_fit_score,weekly,"Ops review, staffing economics"
Universal State Encoder,embedding,fact_dispatch_event,attendance; travel; arrival; readiness; safety,"show_up, arrival, docs, csat, productivity, safety outcomes","universal_state_embedding, per-channel scores",fact_technician_skill_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Trust decomposition, cross-domain fit, overall reliability"
Universal State Encoder,embedding,fact_travel_event,communication; documentation; closeout; customer experience,"show_up, arrival, docs, csat, productivity, safety outcomes","universal_state_embedding, per-channel scores",fact_technician_skill_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Trust decomposition, cross-domain fit, overall reliability"
Universal State Encoder,embedding,fact_arrival_event,communication; documentation; closeout; customer experience,"show_up, arrival, docs, csat, productivity, safety outcomes","universal_state_embedding, per-channel scores",fact_technician_skill_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Trust decomposition, cross-domain fit, overall reliability"
Universal State Encoder,embedding,fact_tool_check_event,communication; documentation; closeout; customer experience,"show_up, arrival, docs, csat, productivity, safety outcomes","universal_state_embedding, per-channel scores",fact_technician_skill_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Trust decomposition, cross-domain fit, overall reliability"
Universal State Encoder,embedding,fact_qc_event,communication; documentation; closeout; customer experience,"show_up, arrival, docs, csat, productivity, safety outcomes","universal_state_embedding, per-channel scores",fact_technician_skill_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Trust decomposition, cross-domain fit, overall reliability"
Universal State Encoder,embedding,fact_artifact_event,communication; documentation; closeout; customer experience,"show_up, arrival, docs, csat, productivity, safety outcomes","universal_state_embedding, per-channel scores",fact_technician_skill_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Trust decomposition, cross-domain fit, overall reliability"
