model_name,category,dataset_or_store,feature_group_examples,label_or_target,outputs,output_table,training_cadence,ui_surfaces
Universal State Encoder,embedding,fact_escalation_event,communication; documentation; closeout; customer experience,"show_up, arrival, docs, csat, productivity, safety outcomes","universal_state_embedding, per-channel scores",fact_technician_skill_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Trust decomposition, cross-domain fit, overall reliability"
Universal State Encoder,embedding,fact_closeout_event,communication; documentation; closeout; customer experience,"show_up, arrival, docs, csat, productivity, safety outcomes","universal_state_embedding, per-channel scores",fact_technician_skill_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Trust decomposition, cross-domain fit, overall reliability"
Universal State Encoder,embedding,fact_feedback_event,communication; documentation; closeout; customer experience,"show_up, arrival, docs, csat, productivity, safety outcomes","universal_state_embedding, per-channel scores",fact_technician_skill_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Trust decomposition, cross-domain fit, overall reliability"
Domain Expert Bank,embedding,fact_runbook_step_event,step family success; validation quality; execution timing; documentation; domain tools,"first_pass, rework, redispatch, defect, duration outcomes by domain","domain_state_embedding, D_* scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Best fit, weak fit, skills, domain cards"
Domain Expert Bank,embedding,fact_qc_event,step family success; validation quality; execution timing; documentation; domain tools,"first_pass, rework, redispatch, defect, duration outcomes by domain","domain_state_embedding, D_* scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Best fit, weak fit, skills, domain cards"
Domain Expert Bank,embedding,fact_domain_tool_log,step family success; validation quality; execution timing; documentation; domain tools,"first_pass, rework, redispatch, defect, duration outcomes by domain","domain_state_embedding, D_* scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Best fit, weak fit, skills, domain cards"
Domain Expert Bank,embedding,fact_artifact_event,step family success; validation quality; execution timing; documentation; domain tools,"first_pass, rework, redispatch, defect, duration outcomes by domain","domain_state_embedding, D_* scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Best fit, weak fit, skills, domain cards"
Domain Expert Bank,embedding,gold_step_train,step family success; validation quality; execution timing; documentation; domain tools,"first_pass, rework, redispatch, defect, duration outcomes by domain","domain_state_embedding, D_* scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Best fit, weak fit, skills, domain cards"
Subdomain Adapter Bank,embedding,bridge_job_domain_scope,subdomain ids; specialty tools; rare step patterns; specialized validations,subdomain fit / specialty success,"subdomain_adapter_delta, specialty_scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,weekly,"specialty tags, weak-fit avoidance"
Subdomain Adapter Bank,embedding,fact_runbook_step_event,subdomain ids; specialty tools; rare step patterns; specialized validations,subdomain fit / specialty success,"subdomain_adapter_delta, specialty_scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,weekly,"specialty tags, weak-fit avoidance"
Subdomain Adapter Bank,embedding,fact_domain_tool_log,subdomain ids; specialty tools; rare step patterns; specialized validations,subdomain fit / specialty success,"subdomain_adapter_delta, specialty_scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,weekly,"specialty tags, weak-fit avoidance"
Subdomain Adapter Bank,embedding,domain subdomain labels,subdomain ids; specialty tools; rare step patterns; specialized validations,subdomain fit / specialty success,"subdomain_adapter_delta, specialty_scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,weekly,"specialty tags, weak-fit avoidance"
Job Context Structured Encoder,embedding,fact_job_context_field,customer/site/schedule/commercials; service activation; access; BOM-like fields; policies,"pair fit, risk heads, duration",job_context_structured_embedding,gold_job_context_snapshot; serving_job_context_embedding_cache,on context change + daily refresh,"fit scoring, conditions, explanations"
Job Context Structured Encoder,embedding,dim_job,customer/site/schedule/commercials; service activation; access; BOM-like fields; policies,"pair fit, risk heads, duration",job_context_structured_embedding,gold_job_context_snapshot; serving_job_context_embedding_cache,on context change + daily refresh,"fit scoring, conditions, explanations"
Job Context Structured Encoder,embedding,dim_site,customer/site/schedule/commercials; service activation; access; BOM-like fields; policies,"pair fit, risk heads, duration",job_context_structured_embedding,gold_job_context_snapshot; serving_job_context_embedding_cache,on context change + daily refresh,"fit scoring, conditions, explanations"
Job Context Structured Encoder,embedding,bridge_job_domain_scope,customer/site/schedule/commercials; service activation; access; BOM-like fields; policies,"pair fit, risk heads, duration",job_context_structured_embedding,gold_job_context_snapshot; serving_job_context_embedding_cache,on context change + daily refresh,"fit scoring, conditions, explanations"
Job Context Text Encoder,embedding,fact_job_context_field + source text refs,scope text; escalations; nuanced customer/site notes; acceptance criteria,"pair fit, issue risk, scope matching",job_context_text_embedding,gold_job_context_snapshot; serving_job_context_embedding_cache,on text change + weekly refresh,"fit explanations, risk watchouts"
Job Context Text Encoder,embedding,transcripts,scope text; escalations; nuanced customer/site notes; acceptance criteria,"pair fit, issue risk, scope matching",job_context_text_embedding,gold_job_context_snapshot; serving_job_context_embedding_cache,on text change + weekly refresh,"fit explanations, risk watchouts"
Job Context Text Encoder,embedding,attachments,scope text; escalations; nuanced customer/site notes; acceptance criteria,"pair fit, issue risk, scope matching",job_context_text_embedding,gold_job_context_snapshot; serving_job_context_embedding_cache,on text change + weekly refresh,"fit explanations, risk watchouts"
Site / BOM Set Encoder,embedding,fact_job_context_field,unit counts; row diversity; site complexity; repeated install patterns,"staffing fit, duration, workload complexity","site_set_embedding, workload_complexity_score",gold_job_context_snapshot,on context change,"workload estimate, staffing explanation"
Site / BOM Set Encoder,embedding,repeated site/BOM rows,unit counts; row diversity; site complexity; repeated install patterns,"staffing fit, duration, workload complexity","site_set_embedding, workload_complexity_score",gold_job_context_snapshot,on context change,"workload estimate, staffing explanation"
Site / BOM Set Encoder,embedding,dim_site,unit counts; row diversity; site complexity; repeated install patterns,"staffing fit, duration, workload complexity","site_set_embedding, workload_complexity_score",gold_job_context_snapshot,on context change,"workload estimate, staffing explanation"
Heterogeneous Graph Encoder,graph,dim_technician,co-occurrence edges; reviewer patterns; site recurrence; customer recurrence; substitute overlap,"substitute quality, anomaly detection, neighbor agreement","graph_side_embedding, neighbor_agreement_signal",gold_embedding_feature_bundle / fact_job_tech_fit_score,weekly,"neighbor agreement, substitute suggestions"
Heterogeneous Graph Encoder,graph,dim_site,co-occurrence edges; reviewer patterns; site recurrence; customer recurrence; substitute overlap,"substitute quality, anomaly detection, neighbor agreement","graph_side_embedding, neighbor_agreement_signal",gold_embedding_feature_bundle / fact_job_tech_fit_score,weekly,"neighbor agreement, substitute suggestions"
Heterogeneous Graph Encoder,graph,dim_customer,co-occurrence edges; reviewer patterns; site recurrence; customer recurrence; substitute overlap,"substitute quality, anomaly detection, neighbor agreement","graph_side_embedding, neighbor_agreement_signal",gold_embedding_feature_bundle / fact_job_tech_fit_score,weekly,"neighbor agreement, substitute suggestions"
Heterogeneous Graph Encoder,graph,fact_job_outcome,co-occurrence edges; reviewer patterns; site recurrence; customer recurrence; substitute overlap,"substitute quality, anomaly detection, neighbor agreement","graph_side_embedding, neighbor_agreement_signal",gold_embedding_feature_bundle / fact_job_tech_fit_score,weekly,"neighbor agreement, substitute suggestions"
Heterogeneous Graph Encoder,graph,fact_domain_tool_log,co-occurrence edges; reviewer patterns; site recurrence; customer recurrence; substitute overlap,"substitute quality, anomaly detection, neighbor agreement","graph_side_embedding, neighbor_agreement_signal",gold_embedding_feature_bundle / fact_job_tech_fit_score,weekly,"neighbor agreement, substitute suggestions"
Heterogeneous Graph Encoder,graph,fact_qc_event,co-occurrence edges; reviewer patterns; site recurrence; customer recurrence; substitute overlap,"substitute quality, anomaly detection, neighbor agreement","graph_side_embedding, neighbor_agreement_signal",gold_embedding_feature_bundle / fact_job_tech_fit_score,weekly,"neighbor agreement, substitute suggestions"
Pair Interaction Cross-Encoder,ranking,serving_job_context_embedding_cache,J_* context; U_* state; D_* state; subdomain deltas; profile priors,selected_with_good_outcome_vs_hard_negative,"fit_score, top_reason_codes, per-head logits",fact_job_tech_fit_score,weekly; online daily scoring,"Best fit, weak fit, shortlist ranking"
Pair Interaction Cross-Encoder,ranking,serving_tech_embedding_cache,graph priors,selected_with_good_outcome_vs_hard_negative,"fit_score, top_reason_codes, per-head logits",fact_job_tech_fit_score,weekly; online daily scoring,"Best fit, weak fit, shortlist ranking"
Pair Interaction Cross-Encoder,ranking,gold_tech_profile_prior,graph priors,selected_with_good_outcome_vs_hard_negative,"fit_score, top_reason_codes, per-head logits",fact_job_tech_fit_score,weekly; online daily scoring,"Best fit, weak fit, shortlist ranking"
Pair Interaction Cross-Encoder,ranking,graph side signals,graph priors,selected_with_good_outcome_vs_hard_negative,"fit_score, top_reason_codes, per-head logits",fact_job_tech_fit_score,weekly; online daily scoring,"Best fit, weak fit, shortlist ranking"
Uncertainty & Calibration Head,calibration,fact_job_tech_fit_score pre-calibration,raw logits; evidence count; novelty; drift; slice behavior,well-calibrated probabilities / coverage targets,"calibrated_probabilities, uncertainty_penalty, trust_adjustment",fact_job_tech_fit_score; serving_model_explanation_cache,weekly or after drift alerts,"Trust decomposition, confidence band, watchouts"
Uncertainty & Calibration Head,calibration,gold_calibration_eval,raw logits; evidence count; novelty; drift; slice behavior,well-calibrated probabilities / coverage targets,"calibrated_probabilities, uncertainty_penalty, trust_adjustment",fact_job_tech_fit_score; serving_model_explanation_cache,weekly or after drift alerts,"Trust decomposition, confidence band, watchouts"
Uncertainty & Calibration Head,calibration,monitor_prediction_drift,raw logits; evidence count; novelty; drift; slice behavior,well-calibrated probabilities / coverage targets,"calibrated_probabilities, uncertainty_penalty, trust_adjustment",fact_job_tech_fit_score; serving_model_explanation_cache,weekly or after drift alerts,"Trust decomposition, confidence band, watchouts"
Archetype Classifier,representation,serving_tech_embedding_cache,universal/domain embeddings; behavior clusters; proof density,archetype cluster / supervised archetype tags,"top_archetype, archetype_scores",serving_model_explanation_cache,monthly,Overview top archetype
Archetype Classifier,representation,fact_job_outcome,universal/domain embeddings; behavior clusters; proof density,archetype cluster / supervised archetype tags,"top_archetype, archetype_scores",serving_model_explanation_cache,monthly,Overview top archetype
Archetype Classifier,representation,fact_runbook_step_event,universal/domain embeddings; behavior clusters; proof density,archetype cluster / supervised archetype tags,"top_archetype, archetype_scores",serving_model_explanation_cache,monthly,Overview top archetype
Operating Conditions Preference Model,conditions,fact_job_outcome,business hours vs after-hours; weekend/overnight; radius bands; remote travel; access windows,relative outcome lift by condition bucket,"best_time_conditions, weak_time_conditions, best_travel_conditions, weak_travel_conditions",serving_model_explanation_cache,weekly,Risk & Conditions
Operating Conditions Preference Model,conditions,dim_job,business hours vs after-hours; weekend/overnight; radius bands; remote travel; access windows,relative outcome lift by condition bucket,"best_time_conditions, weak_time_conditions, best_travel_conditions, weak_travel_conditions",serving_model_explanation_cache,weekly,Risk & Conditions
Operating Conditions Preference Model,conditions,dim_site,business hours vs after-hours; weekend/overnight; radius bands; remote travel; access windows,relative outcome lift by condition bucket,"best_time_conditions, weak_time_conditions, best_travel_conditions, weak_travel_conditions",serving_model_explanation_cache,weekly,Risk & Conditions
Operating Conditions Preference Model,conditions,fact_travel_event,business hours vs after-hours; weekend/overnight; radius bands; remote travel; access windows,relative outcome lift by condition bucket,"best_time_conditions, weak_time_conditions, best_travel_conditions, weak_travel_conditions",serving_model_explanation_cache,weekly,Risk & Conditions
Operating Conditions Preference Model,conditions,fact_arrival_event,business hours vs after-hours; weekend/overnight; radius bands; remote travel; access windows,relative outcome lift by condition bucket,"best_time_conditions, weak_time_conditions, best_travel_conditions, weak_travel_conditions",serving_model_explanation_cache,weekly,Risk & Conditions
Operating Conditions Preference Model,conditions,fact_technician_domain_state_daily,business hours vs after-hours; weekend/overnight; radius bands; remote travel; access windows,relative outcome lift by condition bucket,"best_time_conditions, weak_time_conditions, best_travel_conditions, weak_travel_conditions",serving_model_explanation_cache,weekly,Risk & Conditions
ANN Candidate Retrieval,retrieval,serving_job_context_embedding_cache,domain embeddings; universal overlays; geo shard; eligibility mask,recall@K for successful assignments,candidate_set_top_k,temporary retrieval result / fact_job_tech_fit_score,continuous index refresh,hidden system layer
ANN Candidate Retrieval,retrieval,serving_tech_embedding_cache,domain embeddings; universal overlays; geo shard; eligibility mask,recall@K for successful assignments,candidate_set_top_k,temporary retrieval result / fact_job_tech_fit_score,continuous index refresh,hidden system layer
ANN Candidate Retrieval,retrieval,serving_vector_index_technicians,domain embeddings; universal overlays; geo shard; eligibility mask,recall@K for successful assignments,candidate_set_top_k,temporary retrieval result / fact_job_tech_fit_score,continuous index refresh,hidden system layer
Neighbor Agreement / Similarity Model,explainability,serving_tech_embedding_cache,nearest neighbors; similar job outcomes; reviewer/site overlap,agreement with observed neighborhood outcomes,"neighbor_agreement_score, substitute_candidates",serving_model_explanation_cache,daily,"Trust decomposition, substitutes"
Neighbor Agreement / Similarity Model,explainability,serving_vector_index_technicians,nearest neighbors; similar job outcomes; reviewer/site overlap,agreement with observed neighborhood outcomes,"neighbor_agreement_score, substitute_candidates",serving_model_explanation_cache,daily,"Trust decomposition, substitutes"
Neighbor Agreement / Similarity Model,explainability,fact_job_outcome,nearest neighbors; similar job outcomes; reviewer/site overlap,agreement with observed neighborhood outcomes,"neighbor_agreement_score, substitute_candidates",serving_model_explanation_cache,daily,"Trust decomposition, substitutes"
Learning Velocity Model,development,fact_technician_domain_state_daily,30d vs 90d deltas; new runbook adoption; coaching events; step improvement slope,future score delta / promotion readiness,"learning_velocity_score, momentum_band",serving_model_explanation_cache,weekly,"Skills & Certs, Overview"
Learning Velocity Model,development,fact_technician_skill_state_daily,30d vs 90d deltas; new runbook adoption; coaching events; step improvement slope,future score delta / promotion readiness,"learning_velocity_score, momentum_band",serving_model_explanation_cache,weekly,"Skills & Certs, Overview"
Learning Velocity Model,development,training_and_runbook history,30d vs 90d deltas; new runbook adoption; coaching events; step improvement slope,future score delta / promotion readiness,"learning_velocity_score, momentum_band",serving_model_explanation_cache,weekly,"Skills & Certs, Overview"
