stage,schema_name,object_name,object_kind,grain,primary_keys,description,source_or_feeds,used_by,partition_strategy,retention_policy,refresh_mode,recommended_azure_store,recommended_index_or_cluster,recommended_column_families
bronze_raw,bronze,bronze_artifacts,delta_table,artifact_event,artifact_event_id,"Photos, serials, labels, notes, signatures, as-builts.",photo_qc_and_closeout,Documentation heads,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_checklist_events,delta_table,checklist_event,checklist_event_id,"Tool, PPE, JSA, permit and readiness checklist raw captures.",field_app_checklists,Universal State Encoder,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_closeout_finance,delta_table,closeout_event,closeout_event_id,"Timecards, expenses, parts returns, invoice support docs.",closeout_and_finance,Universal State Encoder,event_date,36 months hot + archive,batch+stream,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_crm_context,delta_table,job_context,job_id | crm_field_name | sync_timestamp,"Raw CRM scope, BOM, site, schedule, commercial details.",HubSpot / CRM,Job Context Encoder,sync_date,keep full history,offline,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_deal_yaml_context,delta_table,job_context,job_id | field_id | source_version,Exploded YAML / SOW / policy pack fields with evidence and precedence.,deal_yaml_sow_pack,Job Context Encoder,job_created_month,keep full history,offline,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_dispatch_events,delta_table,job_assignment_event,assignment_event_id,"Offers, accepts, declines, cancels, reschedules, ETA commitments.",dispatch_system,Universal State Encoder,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_domain_tool_outputs,delta_table,domain_event,domain_event_id,"Domain-specific tool outputs for cabling, telecom, wireless, ITAD, etc.",domain-specific source systems,Domain Expert Bank,event_date,24 months hot + archive,batch+stream,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_feedback,delta_table,feedback_event,feedback_event_id,"CSAT, complaints, compliments, site contact ratings.",feedback_system,Customer Experience heads,event_date,36 months hot + archive,batch+stream,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_geofence_events,delta_table,travel_event,travel_event_id,"Radius pings, arrival/departure geofence events, route telemetry.",geofence_and_mobile_app,Universal State Encoder,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_qc_reviews,delta_table,qc_event,qc_event_id,"QC pass/fail, feedback, defect details, retest loops.",qc_system,Domain Expert Bank,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_runbook_step_events,delta_table,runbook_step_event,step_event_id,"Step start/end, blockers, durations, sequence markers, rework.",runbook_engine,Domain Expert Bank,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_technician_profile_snapshot,delta_table,technician_snapshot,technician_id | snapshot_date,"Raw technician profile, skills, ratings, equipment, legacy fields.",massive_combined_FINAL.parquet / profile snapshots,"Profile prior tower, eligibility gate",snapshot_date,keep full history,offline,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
gold_feature,gold,fact_technician_domain_state_daily,delta_table,tech_domain_state_asof,technician_id | domain_code | as_of_date,Daily as-of domain state aggregates across D_* channels and subdomain adapters.,derived from silver facts,Domain Expert Bank,as_of_month,24 months online + archive,offline+online,Azure Data Lake / Delta gold feature store,"cluster by event_date or as_of_date, technician_id, job_id","technician_id, domain_code, subdomain_id, as_of_date, D_* scores, evidence counts, confidence, trends, freshness"
gold_feature,gold,fact_technician_skill_state_daily,delta_table,tech_universal_state_asof,technician_id | as_of_date,Daily as-of universal state aggregates across U_* channels.,derived from silver facts,Universal State Encoder,as_of_month,24 months online + archive,offline+online,Azure Data Lake / Delta gold feature store,"cluster by event_date or as_of_date, technician_id, job_id","technician_id, as_of_date, U_* scores, evidence counts, confidence, trends, volatility, freshness"
gold_feature,gold,gold_embedding_feature_bundle,delta_table,job_or_technician_as_of_bundle,entity_id | entity_type | as_of_ts,"Unified, point-in-time safe bundle of J_ / U_ / D_ features prepared for model training and offline scoring.","gold_job_context_snapshot, fact_technician_skill_state_daily, fact_technician_domain_state_daily, gold_tech_profile_prior","Embedding encoders, pair models, diagnostics","entity_type, as_of_month",keep rolling 24m + model snapshots,daily,Azure Data Lake / Delta gold feature store,"cluster by entity_type, as_of_ts, entity_id","entity id, point-in-time keys, dense/sparse features, text refs, feature freshness, data quality flags"
gold_feature,gold,gold_job_context_snapshot,delta_table,job_context_snapshot,job_id | snapshot_ts,Latest resolved job context vector inputs ready for encoding.,fact_job_context_field,Job Context Encoder,snapshot_month,keep latest + history,offline+online,Azure Data Lake / Delta gold feature store,cluster by partition strategy + business key,"job_id, snapshot_ts, resolved J_* features, site/set encodings, text embeddings, context completeness"
gold_feature,gold,gold_tech_profile_prior,delta_table,technician_as_of_snapshot,technician_id | as_of_date,Curated cold-start profile prior bundle materialized from profile snapshots and credential/tool dims.,"bronze_technician_profile_snapshot, dim_technician_credential, dim_technician_tool_inventory","Profile Prior Tower, pair retrieval, explainability",as_of_date,keep full history,daily,Azure Data Lake / Delta gold feature store,"cluster by as_of_date, technician_id","technician_id, as_of_date, prior features, credential bundles, tool bundles, text/profile priors"
gold_feature,gold,monitor_prediction_drift,delta_table,model_slice_date,model_name | slice_id | eval_date,"Monitoring slices for drift, calibration, OOD, latency and score stability.","gold_calibration_eval, fact_job_tech_fit_score, serving caches","Uncertainty & Calibration Head, MLOps monitoring",eval_date,keep full history,daily,Azure Data Lake / Delta gold monitoring,"cluster by eval_date, model_name, slice_id","model name, slice keys, predicted stats, actual stats, PSI/drift metrics, alert states"
gold_label,gold,fact_job_outcome,delta_table,job_tech_outcome,job_id | technician_id,"Unified job/tech label table with arrival, first-pass, docs, redispatch, CSAT, safety, margin outcomes.",derived from silver facts,All training heads,job_closed_month,keep full history,offline,Azure Data Lake / Delta gold label store,"cluster by event_date or as_of_date, technician_id, job_id","job_id, technician_id, outcome flags, arrival result, first-pass, rework, redispatch, CSAT, margin, safety"
serving,serve,fact_job_tech_fit_score,online_table,job_tech_score,job_id | technician_id | score_timestamp,"Online inference and rerank output table with fit, risk heads and uncertainty.",model inference,Serving / dispatch UI,score_date,90 days hot,online,Azure SQL / low-latency serving cache,"cluster by event_date or as_of_date, technician_id, job_id","job_id, technician_id, score_ts, fit score, risk heads, trust components, explanation fields, uncertainty"
serving,serve,serving_job_context_embedding_cache,online_table,job_context_as_of,job_id | snapshot_ts,Low-latency cache of encoded job context used by retrieval and reranking.,gold_job_context_snapshot,"ANN retrieval, pair rerank, UI fit cards",job_created_month,keep active jobs + 90d,on context change,Azure SQL / Redis / low-latency online store,primary key on job_id + snapshot_ts,"job_id, snapshot_ts, job embedding refs, context completeness, domain activation, site/set summary"
serving,serve,serving_model_explanation_cache,online_table,job_tech_score_explanation,job_id | technician_id | score_ts,Precomputed explanation snippets and decomposition values for UI cards and ops review.,"fact_job_tech_fit_score, risk heads, trust composer outputs","Overview, Fit & Trust, Risk & Conditions UI",score_date,90d,on scoring,Azure SQL / low-latency serving cache,primary key on job_id + technician_id + score_ts,"score ids, explanation labels, top drivers, counterfactuals, risk watchouts, uncertainty notes"
serving,serve,serving_tech_embedding_cache,online_table,technician_domain_as_of,technician_id | domain_code | as_of_ts,Low-latency cache of technician universal/domain embeddings plus confidence slices.,"fact_technician_skill_state_daily, fact_technician_domain_state_daily, gold_tech_profile_prior","ANN retrieval, reranking, UI explainers",domain_code,keep latest + 30d history,streaming_or_hourly,Azure SQL / Redis / low-latency online store,primary key on technician_id+domain_code; secondary on as_of_ts,"technician_id, domain_code, embedding vector refs, trust features, confidence, freshness, explainability slice"
serving,serve,serving_vector_index_technicians,vector_index,technician_domain_live_index,technician_id | domain_code,Vector index over technician embeddings for candidate generation by domain and region.,serving_tech_embedding_cache,ANN Retrieval & Serving Layer,"domain_code, region",latest only,hourly_or_on_state_change,Vector index / ANN service,"separate index per domain, region, credential gate","vector, technician_id, domain_code, geo shard, eligibility mask, freshness"
silver_bridge,silver,bridge_job_domain_scope,delta_table,job_domain_scope,job_id | domain_code | subdomain_id,Normalized activation of product types and subdomains per job.,bronze_deal_yaml_context,Router / Domain gating,job_created_month,keep full history,offline,Azure Data Lake / Delta silver,cluster by partition strategy + business key,"job_id, product_type, subdomain_id, activation source, effective timestamps"
silver_dim,silver,dim_customer,delta_table,customer,customer_id,Customer master data and account-level traits.,bronze_crm_context,Job Context Encoder,customer_id_hash,type-2 history,offline,Azure Data Lake / Delta silver,cluster by business key; maintain SCD where needed,"customer_id, legal/account hierarchy, account tier, policies, audit columns"
silver_dim,silver,dim_job,delta_table,job,job_id,"Job/dispatch master record with schedule, priority, service type, commercial links.",bronze_dispatch_events + bronze_crm_context,All components,job_created_month,type-2 history,offline,Azure Data Lake / Delta silver,cluster by business key; maintain SCD where needed,"job_id, customer_id, site_id, schedule, priority, product type, commercial refs, audit columns"
silver_dim,silver,dim_site,delta_table,site,site_id,"Site identity, address, access traits, environment and logistical attributes.",bronze_crm_context + bronze_deal_yaml_context,Job Context Encoder,customer_id_hash,type-2 history,offline,Azure Data Lake / Delta silver,cluster by business key; maintain SCD where needed,"site_id, customer_id, geo, access rules, facility traits, timezone, audit columns"
silver_dim,silver,dim_technician,delta_table,technician,technician_id,Master technician dimension with stable identity and provider linkage.,bronze_technician_profile_snapshot,All components,none,type-2 history,offline,Azure Data Lake / Delta silver,cluster by business key; maintain SCD where needed,"surrogate key, natural provider keys, identity, home geo, languages, status, baseline skills, availability, audit columns"
silver_dim,silver,dim_technician_credential,delta_table,technician_credential,technician_id | credential_type | effective_date,"Normalized certifications, clearances, licenses, insurance, screenings.",profile_and_hris,Eligibility Gate,effective_month,type-2 history,offline,Azure Data Lake / Delta silver,cluster by business key; maintain SCD where needed,"technician_id, credential type, issuer, status, effective/expiry dates, proof refs"
silver_dim,silver,dim_technician_tool_inventory,delta_table,technician_tool_inventory,technician_id | tool_type | effective_date,Normalized declared tool inventory and field capability hardware.,bronze_technician_profile_snapshot,Eligibility Gate / Priors,effective_month,type-2 history,offline,Azure Data Lake / Delta silver,cluster by business key; maintain SCD where needed,"technician_id, tool family, declared quantity, verified flag, effective dates, audit columns"
silver_fact,silver,fact_arrival_event,delta_table,arrival_event,arrival_event_id,"Check-in, access granted, kickoff, first-touch timestamps and flags.",field_app_and_geofence,Universal State Encoder,event_date,36 months,streaming,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","event_id, job_id, technician_id, event_ts, check-in/access/kickoff timestamps, access friction flags"
silver_fact,silver,fact_artifact_event,delta_table,artifact_event,artifact_event_id,Documentation/evidence artifact facts.,bronze_artifacts,Documentation heads,event_date,36 months,streaming,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","artifact_event_id, job_id, technician_id, artifact type, created_ts, quality flags, OCR/text metadata, evidence refs"
silver_fact,silver,fact_closeout_event,delta_table,closeout_event,closeout_event_id,"Closeout, timecard, expense, invoice support and signoff facts.",bronze_closeout_finance,Universal State Encoder,event_date,36 months,batch+stream,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","closeout_event_id, job_id, technician_id, closeout_ts, signoff, timecard, expense, invoice support, parts return"
silver_fact,silver,fact_dispatch_event,delta_table,dispatch_event,dispatch_event_id,Normalized dispatch and scheduling events.,bronze_dispatch_events,Universal State Encoder,event_date,36 months,streaming,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","event_id, job_id, technician_id, event_ts, offer/accept/decline/cancel type, ETA, schedule refs, reason codes"
silver_fact,silver,fact_domain_tool_log,delta_table,domain_event,domain_event_id,Domain-specific evidence and validation outputs.,bronze_domain_tool_outputs,Domain Expert Bank,event_date,36 months,batch+stream,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","tool_event_id, job_id, technician_id, domain_code, tool_name, measurement payload, validation result, evidence refs"
silver_fact,silver,fact_escalation_event,delta_table,escalation_event,escalation_id,"Communications, ETA updates, blocker notices, PM loops, escalations.",field_app_chat_and_pm,Universal State Encoder,event_date,36 months,streaming,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","comm_event_id, job_id, technician_id, comm_ts, channel, ETA updates, blocker notice, escalation level, response lag"
silver_fact,silver,fact_feedback_event,delta_table,feedback_event,feedback_event_id,Normalized customer/PM feedback facts.,bronze_feedback,Customer Experience heads,event_date,36 months,batch+stream,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","feedback_event_id, job_id, technician_id, feedback_ts, source, csat, sentiment, complaint/compliment tags"
silver_fact,silver,fact_job_context_field,delta_table,job_context_field,job_id | field_id | source_artifact_id,"Canonical per-field context facts resolved from YAML, CRM, transcript, docs and attachments.",bronze_deal_yaml_context + bronze_crm_context,Job Context Encoder,job_created_month,keep full history,offline,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","job_id, field_id, canonical_value, source_system, source_evidence, precedence_rank, extracted_ts"
silver_fact,silver,fact_material_event,delta_table,material_event,material_event_id,"Parts consumed, missing items, returns, substitutions.","field_app_checklists, staging_inventory_and_field_app",,,,,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","business keys, timestamps, attributes, audit columns"
silver_fact,silver,fact_qc_event,delta_table,qc_event,qc_event_id,QC outcome facts and reviewer feedback.,bronze_qc_reviews,Quality heads,event_date,36 months,streaming,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","qc_event_id, job_id, technician_id, reviewer_id, qc_ts, pass/fail, defect code, retest loop, severity"
silver_fact,silver,fact_runbook_step_event,delta_table,runbook_step_event,step_event_id,"Canonical step execution facts with durations, blockers, plan variance and sequence info.",bronze_runbook_step_events,Domain Expert Bank,event_date,36 months,streaming,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","step_event_id, job_id, technician_id, step_family, step_name, start_ts, end_ts, duration, blockers, retries, variance"
silver_fact,silver,fact_tool_check_event,delta_table,tool_check_event,tool_check_event_id,Tool/PPE/readiness checklist facts.,bronze_checklist_events,Universal State Encoder,event_date,36 months,streaming,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","event_id, job_id, technician_id, checklist items, pass/fail, missing tools/PPE, readiness timestamps"
silver_fact,silver,fact_training_event,delta_table,training_event,training_event_id,"Training completion, coaching, certification, runbook onboarding.",training_and_runbook,,,,,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","business keys, timestamps, attributes, audit columns"
silver_fact,silver,fact_travel_event,delta_table,travel_event,travel_event_id,"Normalized route, radius, arrival and mileage facts.",bronze_geofence_events,Universal State Encoder,event_date,36 months,streaming,Azure Data Lake / Delta silver,"cluster by event_date or as_of_date, technician_id, job_id","event_id, job_id, technician_id, event_ts, geofence radius, miles, drive time, route anomaly flags"
training_set,train,gold_calibration_eval,delta_table,eval_bucket,evaluation_run_id | bucket_id,"Calibration, drift and uncertainty evaluation tables split by domain/subdomain/region/customer.",fact_job_outcome + model scores,Calibration & monitoring,run_month,keep full history,offline,Azure ML training parquet / Delta train,cluster by partition strategy + business key,"slice keys, predicted probabilities, outcomes, confidence, drift stats, calibration diagnostics"
training_set,train,gold_hard_negative_pairs,delta_table,job_tech_negative_example,job_id | candidate_technician_id | sampling_version,Hard-negative candidate pairs sampled by region/domain/time/credential parity.,gold_job_tech_pair_train,Ranking losses,label_month,rolling 12 months,offline,Azure ML training parquet / Delta train,cluster by partition strategy + business key,"job_id, technician_id, matched hard-negative metadata, sampling reason, label_cut_ts"
training_set,train,gold_job_tech_pair_train,delta_table,job_tech_pair_example,job_id | technician_id | label_cut_ts,"Main retrieval/ranking training set joining job context, tech universal state, tech domain state and labels.",gold + silver facts,"Retrieval, ranking, fit, risk",label_month,rolling 24 months,offline,Azure ML training parquet / Delta train,cluster by partition strategy + business key,"job_id, technician_id, label_cut_ts, joined feature bundle, hard-negative flags, label columns"
training_set,train,gold_step_train,delta_table,step_example,job_id | technician_id | step_instance_id,Step-level training set for domain experts and adapter updates.,fact_runbook_step_event + fact_qc_event,Domain Expert Bank,event_month,rolling 24 months,offline,Azure ML training parquet / Delta train,cluster by partition strategy + business key,"step_event_id, technician_id, domain_code, step_family, as_of_ts, pre-step context, label columns"
